event,scoreNode,startDateScoreNode,nameScoreNode,locationTypeScoreNode,postalCodeScoreNode,locationSameAsScoreNode,urlScoreNode,additionalTypeScoreNode,descriptionScoreNode,imageUrlScoreNode,organizerTypeScoreNode,organizerSameAsScoreNode,performerTypeScoreNode,performerSameAsScoreNode,offerTypeScoreNode,offerUrlScoreNode,addressTypeScoreNode,streetAddressScoreNode,addressLocalityScoreNode,addressRegionScoreNode,addressCountryScoreNode,endDateScoreNode,eventStatusScoreNode,eventAttendanceModeScoreNode,doorTimeScoreNode,durationScoreNode,mainEntityOfPageUrlScoreNode,scorePercent,score,event_type,name
https://calendar.sandersoncentre.ca/temporary/5f3815cb-9a47-4e35-bbd4-341e5e85e490,_:b0,12,8,8,4,4,2,0,2,2,2,2,0,0,2,2,1,1,1,1,1,0,1,1,0,1,1,91.3043478260869565217391304347826087,66,http://schema.org/Event,25th Anniversary Spring Recitals LISA'S PARTY MIX
https://calendar.sandersoncentre.ca/temporary/1f0444eb-c9d7-433f-9eca-bbdc1672193e,_:b1,12,8,8,4,4,2,0,2,2,2,2,0,0,2,2,1,1,1,1,1,0,1,1,0,1,1,91.3043478260869565217391304347826087,66,http://schema.org/Event,First Annual Spring Recital – Le Jazz Hot
https://calendar.sandersoncentre.ca/temporary/a15078a5-0e89-4e5c-a041-175c2b80dd57,_:b2,12,8,8,4,4,2,0,2,2,2,2,0,0,2,2,1,1,1,1,1,0,1,1,0,1,1,91.3043478260869565217391304347826087,66,http://schema.org/Event,25th Anniversary Spring Recitals LISA'S PARTY MIX
https://calendar.sandersoncentre.ca/temporary/e4405a66-462d-4a45-a6ee-3f647549e723,_:b3,12,8,8,4,4,2,0,2,2,2,2,2,2,2,0,1,1,1,1,1,0,1,1,0,1,1,93.4782608695652173913043478260869565,68,http://schema.org/Event,Laurier Convocation
https://calendar.sandersoncentre.ca/temporary/cca58773-b4b9-4ffb-b0ff-162a282fe11a,_:b4,12,8,8,4,4,2,0,2,2,2,2,2,2,2,0,1,1,1,1,1,0,1,1,0,1,1,93.4782608695652173913043478260869565,68,http://schema.org/Event,Laurier Convocation
https://calendar.sandersoncentre.ca/temporary/e1f41bd8-8b86-48b9-a57e-66b170d90f46,_:b5,12,8,8,4,4,2,0,2,2,2,2,0,0,2,2,1,1,1,1,1,0,1,1,0,1,1,91.3043478260869565217391304347826087,66,http://schema.org/Event,We Got You Covered
https://calendar.sandersoncentre.ca/temporary/01a1a675-e6df-4757-a05d-d316cf9b1ca3,_:b6,12,8,8,4,4,2,0,2,2,2,2,0,0,2,2,1,1,1,1,1,0,1,1,0,1,1,91.3043478260869565217391304347826087,66,http://schema.org/Event,We Got You Covered
https://calendar.sandersoncentre.ca/temporary/107fca29-0a52-4947-9aa7-20c7d9c17d42,_:b7,12,8,8,4,4,2,0,2,2,2,2,0,0,2,2,1,1,1,1,1,0,1,1,0,1,1,91.3043478260869565217391304347826087,66,http://schema.org/Event,We Got You Covered
https://calendar.sandersoncentre.ca/temporary/d02f578a-5d56-4273-b937-e4813aba2dff,_:b8,12,8,8,4,4,2,0,2,2,2,2,0,0,2,2,1,1,1,1,1,0,1,1,0,1,1,91.3043478260869565217391304347826087,66,http://schema.org/Event,Micki’s Dance Recital
https://calendar.sandersoncentre.ca/temporary/8e6bf71f-0a01-49b3-bcb9-3cbdf4970eec,_:b9,12,8,8,4,4,2,0,2,2,2,2,0,0,2,2,1,1,1,1,1,0,1,1,0,1,1,91.3043478260869565217391304347826087,66,http://schema.org/Event,NLC Dance Company Presents - 'Walking the Red Carpet'
https://calendar.sandersoncentre.ca/temporary/e3812b02-622b-415b-8284-00f6021f90fa,_:c0,12,8,8,4,4,2,0,2,2,2,2,0,0,2,0,1,1,1,1,1,0,1,1,0,1,1,89.13043478260869565217391304347826085,64,http://schema.org/Event,GELA Graduation
https://calendar.sandersoncentre.ca/temporary/f6b53c42-c258-4b41-823c-70ed45cd2df9,_:c1,12,8,8,4,4,2,0,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,1,0,1,1,95.65217391304347826086956521739130435,70,http://schema.org/Event,Dan Hill And Andy Kim in Story and Song
